model,scaffold,n,walk,drive,ambiguous,walk_rate,ci_lower,ci_upper
haiku,S0,25,9,12,4,0.36,0.2025,0.5548
haiku,S1,25,3,16,6,0.12,0.0417,0.2996
haiku,S2,25,2,19,4,0.08,0.0222,0.2497
haiku,S3,25,6,15,4,0.24,0.115,0.4343
haiku,S4,25,4,17,4,0.16,0.064,0.3465
haiku,S5,25,5,16,4,0.2,0.0886,0.3913
sonnet,S0,19,2,11,6,0.1053,0.0294,0.3139
sonnet,S1,19,2,10,7,0.1053,0.0294,0.3139
sonnet,S2,19,2,15,2,0.1053,0.0294,0.3139
sonnet,S3,19,2,13,4,0.1053,0.0294,0.3139
sonnet,S4,19,2,15,2,0.1053,0.0294,0.3139
sonnet,S5,19,1,11,7,0.0526,0.0094,0.2464
