model,scaffold,n,passes,pass_rate,ci_lower,ci_upper
haiku,S0,25,2,0.08,0.02221993369109193,0.24966512122957818
haiku,S1,25,0,0.0,0.0,0.13319649395317873
haiku,S2,25,1,0.04,0.007096050386699165,0.19544472405022525
haiku,S3,25,1,0.04,0.007096050386699165,0.19544472405022525
haiku,S4,25,3,0.12,0.04166741357068093,0.2995619218337349
haiku,S5,25,3,0.12,0.04166741357068093,0.2995619218337349
sonnet,S0,5,0,0.0,0.0,0.43449149475208104
sonnet,S1,5,1,0.2,0.03622316096978745,0.6244717358814613
sonnet,S2,5,2,0.4,0.1176182311592533,0.769280067791163
sonnet,S3,5,0,0.0,0.0,0.43449149475208104
sonnet,S4,5,2,0.4,0.1176182311592533,0.769280067791163
sonnet,S5,5,0,0.0,0.0,0.43449149475208104
